Part,Value,Device,Package,Description,MPN,DKN,,,Manu
R3,10k,R-US_R0603,R0603,"RESISTOR, American symbol",MCT06030C1002FP500,MCT0603-10.0K-CFCT-ND,,,
R4,10k,R-US_R0603,R0603,"RESISTOR, American symbol",MCT06030C1002FP500,MCT0603-10.0K-CFCT-ND,,,
R5,20k,R-US_R0603,R0603,"RESISTOR, American symbol",MCT06030C2002FP500,MCT0603-20.0K-CFCT-ND,,,
R6,20k,R-US_R0603,R0603,"RESISTOR, American symbol",MCT06030C2002FP500,MCT0603-20.0K-CFCT-ND,,,
R7,10k,R-US_R0603,R0603,"RESISTOR, American symbol",MCT06030C1002FP500,MCT0603-10.0K-CFCT-ND,,,
R8,10k,R-US_R0603,R0603,"RESISTOR, American symbol",MCT06030C1002FP500,MCT0603-10.0K-CFCT-ND,,,
R9,10k,R-US_R0603,R0603,"RESISTOR, American symbol",CRCW060310K0JNEA,541-10KGCT-ND,,,
R10,20,R-US_R0603,R0603,"RESISTOR, American symbol",RMCF0603FT20R0,RMCF0603FT20R0CT-ND,,,
R11,20,R-US_R0603,R0603,"RESISTOR, American symbol",RMCF0603FT20R0,RMCF0603FT20R0CT-ND,,,
R12,20,R-US_R0603,R0603,"RESISTOR, American symbol",RMCF0603FT20R0,RMCF0603FT20R0CT-ND,,,
R13,20,R-US_R0603,R0603,"RESISTOR, American symbol",RMCF0603JT20R0,RMCF0603JT20R0CT-ND,,,
R14,10,R-US_R0603,R0603,"RESISTOR, American symbol",RMCF0603JT10R0,RMCF0603JT10R0CT-ND,,,
R15,10k,R-US_R0603,R0603,"RESISTOR, American symbol",MCT06030C1002FP500,MCT0603-10.0K-CFCT-ND,,,
R16,10k,R-US_R0603,R0603,"RESISTOR, American symbol",MCT06030C1002FP500,MCT0603-10.0K-CFCT-ND,,,
R17,10k,R-US_R0603,R0603,"RESISTOR, American symbol",MCT06030C1002FP500,MCT0603-10.0K-CFCT-ND,,,
